,Name,Price (in Euros),Details
196,"Royco Rasa Ayam, 230g","2,99","Inhalt 230 Gramm (1,30 € * / 100 Gramm)"
197,"Royco Rasa Sapi, 230g","2,99","Inhalt 230 Gramm (1,30 € * / 100 Gramm)"
198,"Kentucky, Unifood, 200g","1,99","Inhalt 200 Gramm (1,00 € * / 100 Gramm)"
199,"Kurkumablätter, Nesia, 200g","3,99","Inhalt 200 Gramm (2,00 € * / 100 Gramm)"
200,"Papayablätter, 200g","3,49","Inhalt 200 Gramm (1,75 € * / 100 Gramm)"
201,"Bolu Kukus Mawar, Pondan, 400g","3,99","Inhalt 400 Kilogramm (0,01 € * / 1 Kilogramm)"
202,"Membrangarnelen, getrocknet, Jefi, 100g","9,79",Inhalt 100 Gramm
203,"Schwarzer Klebreis, Royal Thai, 1kg","5,99",Inhalt 1 Kilogramm
204,"Premium Tofu (natural), 450g","1,99",Inhalt 1 Stück
205,"Papaya in Syrup, Daily, 565g","3,29","Inhalt 565 Gramm (5,29 € * / 1000 Gramm)"
206,"Masako Ayam, Ajinomoto, 1kg","7,99",Inhalt 1 Kilogramm
207,"Bakmi goreng Komplit, Mayora, 110g","1,59","Inhalt 110 Gramm (1,45 € * / 100 Gramm)"
208,"Bakmi Mewah Ayam, Mayora, 110g","2,19","Inhalt 110 Gramm (1,99 € * / 100 Gramm)"
209,"Bubur Instan Lezat rasa Ayam, 45g","0,69","Inhalt 45 Gramm (1,53 € * / 100 Gramm)"
210,"Palmenzucker, Nesia, 245g","1,99","Inhalt 245 Gramm (0,81 € * / 100 Gramm)"
211,"Palmenzucker, Intra, 270g","2,99","Inhalt 270 Gramm (11,07 € * / 1000 Gramm)"
212,"Rendang, Bamboe, 1kg","28,49",Inhalt 1 Kilogramm
213,"Schwarzes Klebreismehl, Thai Dancer, 400g","2,89","Inhalt 400 Gramm (0,72 € * / 100 Gramm)"
214,"Saos Raja Rasa, 600ml","5,99","Inhalt 600 ml (9,98 € * / 1000 ml)"
215,"Kokosmilch, Sasa, 200ml","1,69","Inhalt 200 ml (0,85 € * / 100 ml)"
216,"Kokosmilch, Sasa, 65ml","0,59","Inhalt 65 ml (0,91 € * / 100 ml)"
217,"Kacang Sukro, OVEN Bawang, 100g","1,49",Inhalt 100 Gramm
218,"Palmenzucker, flüssig, Flower Brand, 1l","6,99",Inhalt 1 Liter
219,"Nutrijell Schoko, 15g","1,09","Inhalt 15 Gramm (7,27 € * / 100 Gramm)"
220,"Nutrijell Lychee, 15g","0,99","Inhalt 15 Gramm (6,60 € * / 100 Gramm)"
221,"Nutrijell (ohne Geschmack), 15g","0,99","Inhalt 15 Gramm (6,60 € * / 100 Gramm)"
222,"Nutrijell Kokos, 15g","0,99","Inhalt 15 Gramm (6,60 € * / 100 Gramm)"
223,"Trockenhefe (aktiv), Koepoe, 65g","1,99","Inhalt 65 Gramm (3,06 € * / 100 Gramm)"
224,"Soda Kue, Koepoe, 81g","1,09","Inhalt 82 Gramm (1,33 € * / 100 Gramm)"
225,"Frühlingsrollen, 60 Stück, 900g (Versand nur in Deutschland)","5,29","Inhalt 900 Gramm (0,59 € * / 100 Gramm)"
226,"Djenkolnuss (Jenkol), Nesia, 200g","4,99","Inhalt 200 Gramm (2,50 € * / 100 Gramm)"
227,"Kokosscheiben, Golden Turtle, 250g (Versand nur in Deutschland)","2,99","Inhalt 250 Gramm (1,04 € * / 100 Gramm)"
228,"Shanghai Pak Choi, 500g","3,99","Inhalt 4991 Gramm (0,06 € * / 100 Gramm)"
229,"Chayote, 500g","2,79","Inhalt 0.5 Kilogramm (5,58 € * / 1 Kilogramm)"
230,"Pandanblätter, 100g","2,79","Inhalt 100 Gramm (27,90 € * / 1000 Gramm)"
231,"Galanga (Thail. Ingwer), 100g","2,79","Inhalt 100 Gramm (27,90 € * / 1000 Gramm)"
232,"Kurkuma, frisch, 100g","2,79","Inhalt 100 Gramm (27,90 € * / 1000 Gramm)"
233,"Zitronengrass, 100g","1,59",Inhalt 100 Gramm
234,"Chili, mini, grün, 100g","2,99","Inhalt 100 Gramm (29,90 € * / 1000 Gramm)"
235,"Cassaveblätter, Nesia, 200g","3,99","Inhalt 200 Gramm (2,00 € * / 100 Gramm)"
